Band structure: 
4.6395451729 4.4529345892 
4.6729463096 4.4536442815 
4.7063474464 4.4544136208 
4.7397485832 4.4552388220 
4.7731497199 4.4561160208 
4.8065508567 4.4570413177 
4.8399519934 4.4580108155 
4.8733531302 4.4590206527 
4.9067542669 4.4600670311 
4.9401554037 4.4611462377 
4.9735565405 4.4622546629 
5.0069576772 4.4633888137 
5.0403588140 4.4645453230 
5.0737599507 4.4657209566 
5.1071610875 4.4669126162 
5.1405622242 4.4681173411 
5.1739633610 4.4693323076 
5.2073644978 4.4705548269 
5.2407656345 4.4717823421 
5.2741667713 4.4730124241 
5.3075679080 4.4742427673 
5.3409690448 4.4754711844 
5.3743701815 4.4766956015 
5.4077713183 4.4779140523 
5.4411724551 4.4791246732 
5.4745735918 4.4803256979 
5.5079747286 4.4815154524 
5.5413758653 4.4826923499 
5.5747770021 4.4838548860 
5.6081781389 4.4850016347 
5.6415792756 4.4861312435 
5.6749804124 4.4872424298 
5.7083815491 4.4883339772 
5.7417826859 4.4894047315 
5.7751838226 4.4904535980 
5.8085849594 4.4914795381 
5.8419860962 4.4924815665 
5.8753872329 4.4934587488 
5.9087883697 4.4944101988 
5.9421895064 4.4953350766 
5.9755906432 4.4962325861 
6.0089917799 4.4971019736 
6.0423929167 4.4979425258 
6.0757940535 4.4987535681 
6.1091951902 4.4995344635 
6.1425963270 4.5002846108 
6.1759974637 4.5010034438 
6.2093986005 4.5016904299 
6.2427997372 4.5023450690 
6.2762008740 4.5029668927 
6.3096020108 4.5035554632 
6.3430031475 4.5041103723 
6.3764042843 4.5046312410 
6.4098054210 4.5051177180 
6.4432065578 4.5055694793 
6.4766076945 4.5059862273 
6.5100088313 4.5063676895 
6.5434099681 4.5067136180 
6.5768111048 4.5070237884 
6.6102122416 4.5072979985 
6.6436133783 4.5075360674 
6.6770145151 4.5077378342 
6.7104156518 4.5079031569 
6.7438167886 4.5080319105 
6.7772179254 4.5081239863 
6.8106190621 4.5081792901 
6.8440201989 4.5081977408 
6.9108224724 4.5081238150 
6.9776247459 4.5079017691 
7.0444270194 4.5075312895 
7.1112292929 4.5070121577 
7.1780315664 4.5063442321 
7.2448338400 4.5055274395 
7.3116361135 4.5045617783 
7.3784383870 4.5034473287 
7.4452406605 4.5021842662 
7.5120429340 4.5007728758 
7.5788452075 4.4992135642 
7.6456474810 4.4975068675 
7.7124497546 4.4956534555 
7.7792520281 4.4936541311 
7.8460543016 4.4915098267 
7.9128565751 4.4892215969 
7.9796588486 4.4867906099 
8.0464611221 4.4842181368 
8.1132633957 4.4815055408 
8.1800656692 4.4786542650 
8.2468679427 4.4756658212 
8.3136702162 4.4725417785 
8.3804724897 4.4692837524 
8.4472747632 4.4658933944 
8.5140770367 4.4623723835 
8.5808793103 4.4587224165 
8.6476815838 4.4549452016 
8.7144838573 4.4510424509 
8.7812861308 4.4470158754 
8.8480884043 4.4428671802 
8.9148906778 4.4385980606 
8.9816929513 4.4342101994 
9.0484952249 4.4297052651 
9.1152974984 4.4250849105 
9.1820997719 4.4203507724 
9.2489020454 4.4155044712 
9.3157043189 4.4105476120 
9.3825065924 4.4054817852 
9.4493088659 4.4003085675 
9.5161111395 4.3950295240 
9.5829134130 4.3896462091 
9.6497156865 4.3841601686 
9.7165179600 4.3785729414 
9.7833202335 4.3728860610 
9.8501225070 4.3671010581 
9.9169247805 4.3612194620 
9.9837270541 4.3552428034 
10.0505293276 4.3491726170 
10.1173316011 4.3430104450 
10.1841338746 4.3367578415 
10.2509361481 4.3304163778 
10.3177384216 4.3239876496 
10.3845406952 4.3174732868 
10.4513429687 4.3108749655 
10.5181452422 4.3041944248 
10.5849475157 4.2974334884 
10.6517497892 4.2905940936 
10.7185520627 4.2836783299 
10.7853543362 4.2766884914 
10.8521566098 4.2696271478 
10.9189588833 4.2624972425 
10.9857611568 4.2553022305 
11.0525634303 4.2480462761 
11.1193657038 4.2407345427 
11.1861679773 4.2333736303 
11.2529702508 4.2259722597 
11.3197725244 4.2185423839 
11.3865747979 4.2111010850 
11.4533770714 4.2036740084 
11.5201793449 4.1963020516 
11.5869816184 4.1890556509 
11.6537838919 4.1820690364 
11.7205861654 4.1756340875 
11.7873884390 4.1704788723 
11.8541907125 4.1682888750 

0.0000000000 4.1682888750 
0.0578524659 4.1687689693 
0.1157049318 4.1701584039 
0.1735573977 4.1723288710 
0.2314098636 4.1751245552 
0.2892623295 4.1784013219 
0.3471147954 4.1820429560 
0.4049672613 4.1859618697 
0.4628197272 4.1900938259 
0.5206721930 4.1943919017 
0.5785246589 4.1988215041 
0.6363771248 4.2033567026 
0.6942295907 4.2079776523 
0.7520820566 4.2126688165 
0.8099345225 4.2174177402 
0.8677869884 4.2222142010 
0.9256394543 4.2270496148 
0.9834919202 4.2319166148 
1.0413443861 4.2368087497 
1.0991968520 4.2417202649 
1.1570493179 4.2466459413 
1.2149017838 4.2515809754 
1.2727542497 4.2565208898 
1.3306067156 4.2614614638 
1.3884591815 4.2663986815 
1.4463116474 4.2713286910 
1.5041641133 4.2762477720 
1.5620165791 4.2811523119 
1.6198690450 4.2860387850 
1.6777215109 4.2909037377 
1.7355739768 4.2957437759 
1.7934264427 4.3005555550 
1.8512789086 4.3053357722 
1.9091313745 4.3100811607 
1.9669838404 4.3147884844 
2.0248363063 4.3194545345 
2.0826887722 4.3240761266 
2.1405412381 4.3286500988 
2.1983937040 4.3331733099 
2.2562461699 4.3376426384 
2.3140986358 4.3420549819 
2.3719511017 4.3464072566 
2.4298035676 4.3506963974 
2.4876560335 4.3549193567 
2.5455084993 4.3590731055 
2.6033609652 4.3631546320 
2.6612134311 4.3671609415 
2.7190658970 4.3710890557 
2.7769183629 4.3749360108 
